Name,Twitter Handle,Total Tweets,Total Retweets,Total followings,Total Followers,User Id,User Verified,User Location,Date of tweet,Tweet id,Tweet Text,Tweet Retweet Status,Tweet Reply To Id
William Lynes MD,wlynesmd,5638,1,9460,10319,177291959,False,Temecula California,2016-04-02 22:30:28,716392380606324736,Pirates Scoundrels and Kings an adventure/fantasy touching story of faith #writetip #realdonaldtrump https//tco/jjjxJfqPBs,False,
sandra,sandra_dutcher,188,0,22,5,3990851235,False,,2016-04-02 22:25:17,716391076702130176,@realDonaldTrump #realdonaldtrump https//tco/F2no7s7STS,False,25073877
sandra,sandra_dutcher,188,0,22,5,3990851235,False,,2016-04-02 22:24:53,716390976462450688,@realDonaldTrump https//tco/F2no7s7STS #realdonaldtrump,False,25073877
Bennie E,Benelliot3,458,1,138,76,713552572158574592,False,"Missouri, USA",2016-04-02 22:24:27,716390866143719425,Airline Couldnt Help Sick Jewish ChildDonald #Trump CAME TO THE RESCUEREAD https//tco/lk9x09fNod#realdonaldtrump #trumptrain,False,
SnowScape,SnowScape15,865,3,121,98,709190330382360576,False,United States,2016-04-02 22:06:03,716386237615988736,RT @BumperPress #Hillary Witch of Lies Sir Edmund Hillary Sniper fire Benghazi Top secret emails ongoing #realDonaldTrump https//tc,False,
William Lynes MD,wlynesmd,5638,1,9460,10319,177291959,False,Temecula California,2016-04-02 22:00:44,716384897745690625,Luger Rounds a curious medical mystery with a twist #writetip #realdonaldtrump https//tco/jjjxJfqPBs,False,
RiseToAmerica,RiseToAmerica,736,0,7,127,703996252669652993,False,"Alaska, USA",2016-04-02 22:00:02,716384723350597632,#TedCruz slaughtering #realDonaldTrump in WI 46 to 33 Way to go Cruz https//tco/mIOKnhU7ka #NeverTrump,False,
D. O.,SK8rtwit,27602,0,1577,368,44632487,False,,2016-04-02 21:58:56,716384445993857024,#realdonaldtrump https//tco/PWxCkUS8Gp,False,
Agatha,agatha290,20044,1,797,581,3112240127,False,,2016-04-02 21:58:10,716384252263317504,RT @DKohrdt Vote Trump #realdonaldtrump #VoteTrump2016 #MakeAmericaGreatAgain #trumptrain #A1 #A2 #tcot #trump2016 https//tco/svL6TnoNyn,False,
Agatha,agatha290,20044,1,797,581,3112240127,False,,2016-04-02 21:57:39,716384122659323904,RT @DKohrdt Trump About You @realDonaldTrump #realdonaldtrump #VoteTrump2016 #TrumpTrain Watch https//tco/QK2MC9wQjR https//tco/7Af6Nl,False,
Agatha,agatha290,20044,1,797,581,3112240127,False,,2016-04-02 21:57:09,716383998541475840,RT @DKohrdt About You #realdonaldtrump #trump2016 #TrumpTrain Watch https//tco/QK2MC9wQjR #VoteTrump2016 #A2 #tcot https//tco/6g1o7K3,False,
Agatha,agatha290,20044,1,797,581,3112240127,False,,2016-04-02 21:57:01,716383962831069184,RT @DKohrdt Trump About You @realDonaldTrump #realdonaldtrump #VoteTrump2016 #TrumpTrain Watch https//tco/QK2MC9wQjR https//tco/Dosmkv,False,
Agatha,agatha290,20044,2,797,581,3112240127,False,,2016-04-02 21:56:54,716383933399764993,RT @DKohrdt Trump About You https//tco/QK2MC9wQjR via @YouTube #realdonaldtrump #VoteTrump2016 #MakeAmericaGreatAgain https//tco/aavEh,False,
Agatha,agatha290,20044,1,797,581,3112240127,False,,2016-04-02 21:56:51,716383923400548352,RT @DKohrdt Trump About You @realDonaldTrump #realdonaldtrump #VoteTrump2016 #TrumpTrain #tcot https//tco/QK2MC9wQjR https//tco/ik2HK7,False,
Agatha,agatha290,20044,1,797,581,3112240127,False,,2016-04-02 21:56:43,716383888315179009,RT @DKohrdt Trump About Obama @realDonaldTrump #realdonaldtrump #VoteTrump2016 #TrumpTrain Watch https//tco/QK2MC9wQjR https//tco/rwv3,False,
Agatha,agatha290,20044,1,797,581,3112240127,False,,2016-04-02 21:56:05,716383727853690880,RT @DKohrdt Trump About You https//tco/QK2MC9wQjR via @YouTube #realdonaldtrump #VoteTrump2016 #MakeAmericaGreatAgain https//tco/CcNhf,False,
Agatha,agatha290,20044,1,797,581,3112240127,False,,2016-04-02 21:56:00,716383706357899268,RT @DKohrdt Vote Trump #realdonaldtrump #VoteTrump2016 #MakeAmericaGreatAgain #trumptrain #A1 #A2 #tcot #trump2016 https//tco/GU9CezZo1p,False,
Agatha,agatha290,20044,1,797,581,3112240127,False,,2016-04-02 21:55:57,716383696396357633,RT @DKohrdt About war https//tco/QK2MC9wQjR via @YouTube #realdonaldtrump #VoteTrump2016 #MakeAmericaGreatAgain https//tco/HQO2RTTb2E,False,
Ed Murrow,EdMurrow2,1954,46,66,118,4680925346,False,"Jakarta, Indonesia",2016-04-02 21:55:51,716383672388063233,RT @JimVitari Bye bye #MegynKelly deleting The Kelly File from my DVR it was nice while it lasted but the endless #realdonaldtrump bashing,False,
Agatha,agatha290,20044,1,797,581,3112240127,False,,2016-04-02 21:55:48,716383658425389056,RT @DKohrdt About You @realDonaldTrump #realdonaldtrump #VoteTrump2016 #TrumpTrain Watch https//tco/QK2MC9wQjR https//tco/G5TxNXJRXN,False,
Agatha,agatha290,20044,1,797,581,3112240127,False,,2016-04-02 21:55:42,716383634853400576,RT @DKohrdt Trump @realDonaldTrump #realdonaldtrump #VoteTrump2016 #TrumpTrain #tcot https//tco/QK2MC9wQjR https//tco/UzWYhhRqa5,False,
HappyPurpleMeatballs,purplemeatballs,5909,1127,1831,759,4214995979,False,"St Petersburg, FL",2016-04-02 21:52:09,716382737591115776,RT @theblacks4Trump @realDonaldTrump is the only leader for The Blacks in the United States #BlackPower #BuildTheWall #realdonaldtrump htt,False,
Dianna,elvisinoregon,44270,3,462,1021,48866739,False,,2016-04-02 21:46:57,716381430247337984,RT @BumperPress #Hillary Witch of Lies Sir Edmund Hillary Sniper fire Benghazi Top secret emails ongoing #realDonaldTrump https//tc,False,
CharlieGirl4aChange,Charliegirl1481,22134,1,4241,3170,4875427757,False,United States,2016-04-02 21:45:06,716380963794591745,RT @iHumanMedia Trump change dynamic of race announce now Jon Huntsman as VP the day before Wisconsin primary @ginah89121 @Campaign_Trump,False,
Mario Vel,Y_Mario,131,0,81,10,114225527,False,Miami Fl.,2016-04-02 21:40:49,716379887431512070,@EstephaniCano @UniPolitica @realDonaldTrump refleja solamente la ignorancia de seguidores de #realdonaldtrump solo incitan a violencia,False,163638585
